time_us,pwm,pos
78603604,154,-6459.0
78703612,154,-6389.0
78803612,154,-6319.0
78903616,154,-6249.0
79003624,154,-6179.0
79103624,-127,-6110.0
79203628,-127,-6146.0
79303632,-127,-6203.0
79403636,-127,-6260.0
79503644,-127,-6316.0
79603648,-127,-6373.0
79703652,-127,-6429.0
79803660,119,-6486.0
79903660,119,-6449.0
80003660,119,-6396.0
80103664,119,-6342.0
80203668,119,-6288.0
80303668,119,-6235.0
80403672,119,-6181.0
80503672,-134,-6127.0
80603672,-134,-6169.0
80703680,-134,-6229.0
80803680,-134,-6288.0
80903684,-134,-6348.0
81003688,-134,-6408.0
81103688,-134,-6467.0
81203688,-146,-6527.0
81303692,-146,-6591.0
81403692,-146,-6656.0
81503700,-146,-6722.0
81603704,-146,-6787.0
81703704,-146,-6852.0
81803704,-146,-6917.0
81903708,-64,-6983.0
82003708,-64,-7018.0
82103708,-64,-7046.0
82203712,-64,-7074.0
82303712,-64,-7102.0
82403712,-64,-7131.0
82503716,-64,-7159.0
82603716,224,-7187.0
82703728,224,-7109.0
82803736,224,-7008.0
82903736,224,-6906.0
83003744,224,-6804.0
83103748,224,-6702.0
83203752,224,-6600.0
83303756,-77,-6498.0
83403756,-77,-6510.0
83503760,-77,-6543.0
83603764,-77,-6578.0
83703768,-77,-6612.0
83803776,-77,-6646.0
83903776,-77,-6680.0
84003784,118,-6714.0
84103784,118,-6675.0
84203788,118,-6622.0
84303788,118,-6569.0
84403796,118,-6515.0
84503800,118,-6462.0
84603800,118,-6409.0
84703816,83,-6355.0
84803824,83,-6315.0
84903824,83,-6278.0
85003828,83,-6241.0
85103832,83,-6204.0
85203836,83,-6167.0
85303836,83,-6130.0
85403840,-192,-6092.0
85503840,-192,-6155.0
85603848,-192,-6241.0
85703856,-192,-6327.0
85803864,-192,-6413.0
85903868,-192,-6499.0
86003868,-192,-6585.0
86103872,161,-6671.0
86203872,161,-6626.0
86303872,161,-6553.0
86403876,161,-6480.0
86503880,161,-6407.0
86603888,161,-6334.0
86703892,161,-6261.0
86803900,175,-6188.0
86903904,175,-6110.0
87003904,175,-6030.0
87103908,175,-5951.0
87203912,175,-5871.0
87303920,175,-5791.0
87403920,175,-5712.0
87503924,217,-5632.0
87603932,217,-5538.0
87703936,217,-5439.0
87803936,217,-5340.0
87903944,217,-5242.0
88003948,217,-5143.0
88103948,217,-5044.0
88203952,81,-4945.0
88303952,81,-4897.0
88403956,81,-4861.0
88503956,81,-4825.0
88603964,81,-4789.0
88703968,81,-4753.0
88803972,81,-4718.0
88903980,-134,-4682.0
89003980,-134,-4726.0
89103980,-134,-4786.0
89203980,-134,-4846.0
89303980,-134,-4905.0
89403984,-134,-4965.0
89503988,-134,-5025.0
89603992,-186,-5084.0
89703992,-186,-5163.0
89803992,-186,-5246.0
89903992,-186,-5329.0
90003992,-186,-5413.0
90103992,-186,-5496.0
90203992,-186,-5579.0
90303992,149,-5663.0
90403992,149,-5620.0
90504000,149,-5553.0
90604000,149,-5486.0
90704000,149,-5418.0
90804000,149,-5351.0
90904000,149,-5283.0
91004000,152,-5216.0
91104000,152,-5147.0
91204008,152,-5078.0
91304008,152,-5009.0
91404008,152,-4940.0
91504008,152,-4872.0
91604012,152,-4803.0
91704020,-230,-4734.0
91804020,-230,-4805.0
91904020,-230,-4908.0
92004024,-230,-5011.0
92104032,-230,-5114.0
92204040,-230,-5217.0
92304044,-230,-5320.0
92404048,-138,-5423.0
92504056,-138,-5494.0
92604056,-138,-5555.0
92704060,-138,-5617.0
92804060,-138,-5679.0
92904060,-138,-5740.0
93004068,-138,-5802.0
93104068,184,-5864.0
93204072,184,-5805.0
93304072,184,-5721.0
93404072,184,-5638.0
93504080,184,-5554.0
93604080,184,-5471.0
93704088,184,-5387.0
93804088,-85,-5304.0
93904088,-85,-5322.0
94004092,-85,-5359.0
94104096,-85,-5397.0
94204096,-85,-5435.0
94304104,-85,-5472.0
94404108,-85,-5510.0
94504108,-244,-5548.0
94604108,-244,-5643.0
94704112,-244,-5752.0
94804112,-244,-5862.0
94904116,-244,-5971.0
95004120,-244,-6080.0
95104120,-244,-6190.0
95204124,189,-6299.0
95304128,189,-6248.0
95404128,189,-6163.0
95504136,189,-6077.0
95604144,189,-5991.0
95704144,189,-5905.0
95804152,189,-5819.0
95904160,72,-5733.0
96004164,72,-5691.0
96104168,72,-5658.0
96204176,72,-5626.0
96304176,72,-5594.0
96404184,72,-5562.0
96504192,72,-5530.0
96604196,-147,-5498.0
96704200,-147,-5548.0
96804208,-147,-5614.0
96904212,-147,-5679.0
97004212,-147,-5745.0
